2025-04-24 06:15:39,174 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:06:13,149 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 16:06:48,233 - IP: 127.0.0.1 | Method: POST | Path: /signup/ | User: Anonymous
2025-04-24 16:08:59,233 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:09:04,166 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 16:09:24,222 - IP: 127.0.0.1 | Method: POST | Path: /signup/ | User: Anonymous
2025-04-24 16:16:32,865 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:16:40,483 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 16:17:02,700 - IP: 127.0.0.1 | Method: POST | Path: /signup/ | User: Anonymous
2025-04-24 16:17:13,301 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 16:17:22,609 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 16:17:49,407 - IP: 127.0.0.1 | Method: POST | Path: /signup/ | User: Anonymous
2025-04-24 16:22:36,438 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:22:41,524 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 16:23:19,536 - IP: 127.0.0.1 | Method: POST | Path: /signup/ | User: Anonymous
2025-04-24 16:23:19,974 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:23:33,065 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:23:33,500 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 16:23:33,555 - IP: 127.0.0.1 | Method: GET | Path: /accounts/login/?next=/profile/ | User: Anonymous
2025-04-24 16:25:56,321 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:26:03,719 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:29:04,965 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:29:13,060 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:29:13,494 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 16:29:13,551 - IP: 127.0.0.1 | Method: GET | Path: /accounts/login/?next=/profile/ | User: Anonymous
2025-04-24 16:33:07,305 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:33:13,791 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:33:42,637 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:33:49,821 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:33:50,256 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 16:33:50,310 - IP: 127.0.0.1 | Method: GET | Path: /accounts/login/?next=/profile/ | User: Anonymous
2025-04-24 16:36:14,424 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:36:32,532 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:36:33,550 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 16:36:33,592 - IP: 127.0.0.1 | Method: GET | Path: /accounts/login/?next=/profile/ | User: Anonymous
2025-04-24 16:40:32,120 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:44:40,752 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:46:11,619 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:53:36,688 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:54:38,004 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:56:46,590 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:57:13,285 - IP: 127.0.0.1 | Method: GET | Path: /login/ | User: Anonymous
2025-04-24 16:57:45,255 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:59:03,895 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:59:12,879 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:59:13,320 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 16:59:23,763 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 16:59:24,206 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:01:07,681 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:01:37,324 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 17:01:37,775 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:02:14,321 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:03:37,560 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:03:46,369 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 17:03:46,796 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:05:51,691 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:06:00,685 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 17:07:42,970 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:07:52,604 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 17:07:53,026 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:07:53,090 - IP: 127.0.0.1 | Method: GET | Path: /accounts/login/?next=/profile/ | User: Anonymous
2025-04-24 17:09:38,977 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:09:46,163 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 17:09:46,582 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:09:46,635 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:10:56,244 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:11:35,480 - IP: 127.0.0.1 | Method: POST | Path: / | User: Anonymous
2025-04-24 17:11:35,932 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:11:35,986 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:13:02,438 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:13:11,712 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:13:12,152 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:13:12,204 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:14:35,090 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:14:40,123 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 17:15:05,307 - IP: 127.0.0.1 | Method: POST | Path: /signup/ | User: Anonymous
2025-04-24 17:15:05,762 - IP: 127.0.0.1 | Method: GET | Path: /login/ | User: Anonymous
2025-04-24 17:15:12,759 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:15:13,186 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:15:13,241 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:16:17,694 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:16:25,154 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:16:25,578 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:16:25,633 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:18:46,183 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:18:52,031 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:18:52,459 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:18:52,517 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:19:23,445 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:19:30,114 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:19:30,530 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:19:30,586 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:21:37,419 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:21:44,917 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:21:45,360 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:21:45,418 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:25:19,988 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:25:35,624 - IP: 127.0.0.1 | Method: GET | Path: /signup/ | User: Anonymous
2025-04-24 17:26:18,825 - IP: 127.0.0.1 | Method: POST | Path: /signup/ | User: Anonymous
2025-04-24 17:26:19,255 - IP: 127.0.0.1 | Method: GET | Path: /login/ | User: Anonymous
2025-04-24 17:26:28,666 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:26:46,661 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:26:47,088 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:26:47,153 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:37:34,481 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:37:55,703 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:37:56,166 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:37:56,222 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:42:13,214 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:42:22,353 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:42:22,789 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:42:22,843 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:43:49,992 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:44:05,980 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:44:06,424 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:44:06,481 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:50:39,611 - IP: 127.0.0.1 | Method: GET | Path: / | User: Anonymous
2025-04-24 17:52:19,129 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: Anonymous
2025-04-24 17:52:19,568 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: Anonymous
2025-04-24 17:52:19,622 - IP: 127.0.0.1 | Method: GET | Path: /login/?next=/profile/ | User: Anonymous
2025-04-24 17:59:44,073 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
2025-04-24 17:59:50,129 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
2025-04-24 17:59:50,552 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
Watching for file changes with StatReloader
2025-04-24 18:04:47,430 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
"GET / HTTP/1.1" 200 811
2025-04-24 18:04:55,352 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
"POST /login/ HTTP/1.1" 302 0
2025-04-24 18:04:55,790 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
"GET /profile/ HTTP/1.1" 200 194
/home/linkedmatrix/Django-Practice/authsystem/accounts/middleware.py changed, reloading.
Watching for file changes with StatReloader
IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
2025-04-24 18:06:26,424 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
"GET / HTTP/1.1" 200 811
2025-04-24 18:06:26,441 - "GET / HTTP/1.1" 200 811
IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
2025-04-24 18:06:32,654 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
"POST /login/ HTTP/1.1" 302 0
2025-04-24 18:06:33,093 - "POST /login/ HTTP/1.1" 302 0
IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
2025-04-24 18:06:33,107 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
"GET /profile/ HTTP/1.1" 200 194
2025-04-24 18:06:33,108 - "GET /profile/ HTTP/1.1" 200 194
Watching for file changes with StatReloader
Watching for file changes with StatReloader
IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
2025-04-24 18:07:38,130 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
"GET / HTTP/1.1" 200 811
2025-04-24 18:07:38,146 - "GET / HTTP/1.1" 200 811
IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
2025-04-24 18:07:47,571 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
"POST /login/ HTTP/1.1" 302 0
2025-04-24 18:07:47,994 - "POST /login/ HTTP/1.1" 302 0
IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
2025-04-24 18:07:48,005 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
"GET /profile/ HTTP/1.1" 200 194
2025-04-24 18:07:48,006 - "GET /profile/ HTTP/1.1" 200 194
/home/linkedmatrix/Django-Practice/authsystem/accounts/admin.py changed, reloading.
2025-04-24 18:13:33,098 - /home/linkedmatrix/Django-Practice/authsystem/accounts/admin.py changed, reloading.
Watching for file changes with StatReloader
IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
2025-04-24 18:13:45,736 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
"GET / HTTP/1.1" 200 811
2025-04-24 18:13:45,753 - "GET / HTTP/1.1" 200 811
IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
2025-04-24 18:13:51,907 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
"POST /login/ HTTP/1.1" 302 0
2025-04-24 18:13:52,333 - "POST /login/ HTTP/1.1" 302 0
IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
2025-04-24 18:13:52,342 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
"GET /profile/ HTTP/1.1" 200 194
2025-04-24 18:13:52,343 - "GET /profile/ HTTP/1.1" 200 194
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:14:51,782 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 302 0
2025-04-24 18:14:51,792 - "GET /admin/ HTTP/1.1" 302 0
IP: 127.0.0.1 | Method: GET | Path: /admin/login/?next=/admin/ | User: testuser@example.com
2025-04-24 18:14:51,807 - IP: 127.0.0.1 | Method: GET | Path: /admin/login/?next=/admin/ | User: testuser@example.com
"GET /admin/login/?next=/admin/ HTTP/1.1" 200 3713
2025-04-24 18:14:51,825 - "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3713
"GET /static/admin/css/base.css HTTP/1.1" 304 0
2025-04-24 18:14:52,054 - "GET /static/admin/css/base.css HTTP/1.1" 304 0
"GET /static/admin/js/theme.js HTTP/1.1" 304 0
2025-04-24 18:14:52,058 - "GET /static/admin/js/theme.js HTTP/1.1" 304 0
"GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
2025-04-24 18:14:52,060 - "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
2025-04-24 18:14:52,068 - "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
"GET /static/admin/css/login.css HTTP/1.1" 304 0
"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
2025-04-24 18:14:52,069 - "GET /static/admin/css/login.css HTTP/1.1" 304 0
2025-04-24 18:14:52,070 - "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
"GET /static/admin/css/responsive.css HTTP/1.1" 304 0
2025-04-24 18:14:52,074 - "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
2025-04-24 18:15:21,864 - IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
"POST /admin/login/?next=/admin/ HTTP/1.1" 200 3880
2025-04-24 18:15:22,280 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 3880
IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
2025-04-24 18:15:39,304 - IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
"POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
2025-04-24 18:15:39,713 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
2025-04-24 18:15:42,470 - IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
"POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
2025-04-24 18:15:42,903 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
2025-04-24 18:15:44,485 - IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
"POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
2025-04-24 18:15:44,912 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
2025-04-24 18:15:45,345 - IP: 127.0.0.1 | Method: POST | Path: /admin/login/?next=/admin/ | User: testuser@example.com
"POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
2025-04-24 18:15:45,751 - "POST /admin/login/?next=/admin/ HTTP/1.1" 200 3886
Watching for file changes with StatReloader
IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
2025-04-24 18:18:04,355 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
"GET / HTTP/1.1" 200 811
2025-04-24 18:18:04,372 - "GET / HTTP/1.1" 200 811
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:18:14,274 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:18:14,305 - "GET /admin/ HTTP/1.1" 200 4542
"GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
2025-04-24 18:18:14,390 - "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:18:30,299 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:18:30,307 - "GET /admin/ HTTP/1.1" 200 4542
IP: 127.0.0.1 | Method: GET | Path: /admin/). | User: testuser@example.com
2025-04-24 18:21:26,037 - IP: 127.0.0.1 | Method: GET | Path: /admin/). | User: testuser@example.com
Not Found: /admin/).
2025-04-24 18:21:26,052 - Not Found: /admin/).
"GET /admin/). HTTP/1.1" 404 4324
2025-04-24 18:21:26,053 - "GET /admin/). HTTP/1.1" 404 4324
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:21:35,602 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:21:35,610 - "GET /admin/ HTTP/1.1" 200 4542
IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
2025-04-24 18:21:52,087 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
"GET / HTTP/1.1" 200 811
2025-04-24 18:21:52,093 - "GET / HTTP/1.1" 200 811
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:21:55,102 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:21:55,129 - "GET /admin/ HTTP/1.1" 200 4542
IP: 127.0.0.1 | Method: GET | Path: /admin/login/?next=/admin/ | User: testuser@example.com
2025-04-24 18:23:17,504 - IP: 127.0.0.1 | Method: GET | Path: /admin/login/?next=/admin/ | User: testuser@example.com
"GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
2025-04-24 18:23:17,506 - "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:23:17,551 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:23:17,574 - "GET /admin/ HTTP/1.1" 200 4542
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:23:49,974 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:23:49,986 - "GET /admin/ HTTP/1.1" 200 4542
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:25:12,353 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:25:12,364 - "GET /admin/ HTTP/1.1" 200 4542
IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
2025-04-24 18:25:39,082 - IP: 127.0.0.1 | Method: POST | Path: /login/ | User: testuser@example.com
"POST /login/ HTTP/1.1" 302 0
2025-04-24 18:25:39,534 - "POST /login/ HTTP/1.1" 302 0
IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
2025-04-24 18:25:39,548 - IP: 127.0.0.1 | Method: GET | Path: /profile/ | User: testuser@example.com
"GET /profile/ HTTP/1.1" 200 194
2025-04-24 18:25:39,549 - "GET /profile/ HTTP/1.1" 200 194
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:26:20,736 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:26:20,746 - "GET /admin/ HTTP/1.1" 200 4542
Watching for file changes with StatReloader
IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
2025-04-24 18:33:51,151 - IP: 127.0.0.1 | Method: GET | Path: /admin/ | User: testuser@example.com
"GET /admin/ HTTP/1.1" 200 4542
2025-04-24 18:33:51,187 - "GET /admin/ HTTP/1.1" 200 4542
/home/linkedmatrix/Django-Practice/authsystem/authsystem/settings.py changed, reloading.
2025-04-24 18:35:25,021 - /home/linkedmatrix/Django-Practice/authsystem/authsystem/settings.py changed, reloading.
Watching for file changes with StatReloader
IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
2025-04-24 18:35:46,550 - IP: 127.0.0.1 | Method: GET | Path: / | User: testuser@example.com
"GET / HTTP/1.1" 200 811
